Reporting Economy,Product/Sector,Partner Economy,2013,2014,2015,2016,2017,2018,2019
Albania,"MT2 - 03 - Fruits, vegetables, plants",Montenegro,719103,626088,123396,294463,8041,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Morocco,5142,64582,30245,40361,76069,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Myanmar,,,6,,647,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Netherlands,3764182,4977073,3518533,4428881,5205257,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",New Zealand,,2303,89,9840,12,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Nicaragua,,2051,1542,114,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Niger,,,490,,3796,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Nigeria,,7923,6838,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",North Macedonia,1742364,3703485,2551400,2522540,1581081,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Norway,9,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Pakistan,,4708,684,26050,66813,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Panama,34340,,,170,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Paraguay,207,100,15,860,4837,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Peru,11499,9884,42082,39518,55026,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Philippines,165,1908,3305,7051,1793,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Poland,526545,379348,677577,1073638,1234954,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Portugal,,2198,,,105,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Romania,3782,369,29823,52915,24315,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Russian Federation,508,262588,16755,36359,93092,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Saudi Arabia, Kingdom of",,,502,9034,78680,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Serbia,2511366,3235720,2575220,4000042,3970212,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Sierra Leone,6728,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Singapore,,,1,,240,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Slovak Republic,8521,11742,0,2196,1321,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Slovenia,12533,6829,10400,4354,11180,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",South Africa,96649,203095,298259,189777,132117,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Spain,250862,755467,523080,566806,594329,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Sri Lanka,28281,87761,49698,62863,65674,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Sudan,,,10855,,31580,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Suriname,,,,65,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Sweden,86,91,16243,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Switzerland,103,1844,,2686,2041,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Syrian Arab Republic,44510,22370,1702,475,272,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Chinese Taipei,15995,47377,42088,16396,18369,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Tanzania,,,56,,5641,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Thailand,29883,38640,50639,72868,40017,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Tunisia,9598,4682,25033,56142,80682,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Turkey,4352061,3378726,2567906,2845512,5149723,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Uganda,,,,,23755,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ukraine,151996,214841,209054,787116,751161,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",United Arab Emirates,8208,632,6795,738,813,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",United Kingdom,20869,14742,2468,4121,10832,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",United States of America,453319,513205,660805,850933,821516,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Uruguay,36940,,479,840,134630,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Uzbekistan,,,,,156,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Viet Nam,2674,35638,66398,62890,637,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Zimbabwe,,,,,733,,
Albania,"MT2 - 04 - Coffee, tea",World,50724613,54160031,49130172,52964264,56831222,63439411,
Albania,"MT2 - 04 - Coffee, tea",Argentina,,,476,,1290,,
Albania,"MT2 - 04 - Coffee, tea",Australia,,1000,142,,,,
Albania,"MT2 - 04 - Coffee, tea",Austria,122819,413094,319151,251734,333311,,
Albania,"MT2 - 04 - Coffee, tea",Belarus,,2809,,,,,
Albania,"MT2 - 04 - Coffee, tea",Belgium,477398,330062,498821,680643,713957,,
Albania,"MT2 - 04 - Coffee, tea","Bolivia, Plurinational State of",,590,,,,,
Albania,"MT2 - 04 - Coffee, tea",Bosnia and Herzegovina,9236,12521,32537,137243,84540,,
Albania,"MT2 - 04 - Coffee, tea",Brazil,7278074,6155979,6173472,5840609,7697426,,
Albania,"MT2 - 04 - Coffee, tea",Bulgaria,516758,743526,758118,1054304,643176,,
Albania,"MT2 - 04 - Coffee, tea",Burkina Faso,,,,125,,,
Albania,"MT2 - 04 - Coffee, tea",Cameroon,280218,320124,221673,164196,183806,,
Albania,"MT2 - 04 - Coffee, tea",Canada,498,534,1512,,267,,
Albania,"MT2 - 04 - Coffee, tea",Chile,,2453,154,115,,,
Albania,"MT2 - 04 - Coffee, tea",China,147453,226721,95235,85342,98270,,
Albania,"MT2 - 04 - Coffee, tea",Colombia,366287,196769,246023,312037,399605,,
Albania,"MT2 - 04 - Coffee, tea",Comoros,,4689,4404,,,,
Albania,"MT2 - 04 - Coffee, tea",Congo,,39350,,,,,
Albania,"MT2 - 04 - Coffee, tea",Costa Rica,18885,43142,17420,40944,19956,,
Albania,"MT2 - 04 - Coffee, tea",Côte d'Ivoire,602681,651909,408685,245321,231357,,
Albania,"MT2 - 04 - Coffee, tea",Croatia,1116403,854092,848018,813097,730461,,
Albania,"MT2 - 04 - Coffee, tea",Cuba,3181,332,,,,,
Albania,"MT2 - 04 - Coffee, tea",Cyprus,,6587,,3413,,,
Albania,"MT2 - 04 - Coffee, tea",Czech Republic,336080,257824,11738,2168,1123,,
Albania,"MT2 - 04 - Coffee, tea",Ecuador,5637,26351,7607,29721,19504,,
Albania,"MT2 - 04 - Coffee, tea",Egypt,14351,,156,,999,,
Albania,"MT2 - 04 - Coffee, tea",El Salvador,5611,5945,2889,,,,
Albania,"MT2 - 04 - Coffee, tea",Estonia,553,,85,,,,
Albania,"MT2 - 04 - Coffee, tea",Eswatini,,256,,,,,
Albania,"MT2 - 04 - Coffee, tea",Ethiopia,356390,58959,145062,90997,76180,,
Albania,"MT2 - 04 - Coffee, tea",France,179977,166771,204458,214865,277017,,
Albania,"MT2 - 04 - Coffee, tea",Gabon,11999,,,,,,
Albania,"MT2 - 04 - Coffee, tea",Georgia,,,,41,,,
Albania,"MT2 - 04 - Coffee, tea",Germany,3207677,4129399,3955040,4899854,4921474,,
Albania,"MT2 - 04 - Coffee, tea",Ghana,,479,470,,217,,
Albania,"MT2 - 04 - Coffee, tea",Greece,4364205,4319571,2088047,2756067,3817587,,
Albania,"MT2 - 04 - Coffee, tea",Guatemala,58655,32218,19032,43949,176186,,
Albania,"MT2 - 04 - Coffee, tea",Guinea,6176,,,,,,
Albania,"MT2 - 04 - Coffee, tea",Honduras,49761,145552,110230,93497,157292,,
Albania,"MT2 - 04 - Coffee, tea","Hong Kong, China",,7044,,,,,
Albania,"MT2 - 04 - Coffee, tea",Hungary,244972,731205,193420,219637,387579,,
Albania,"MT2 - 04 - Coffee, tea",India,3749964,4625936,4368509,5404722,4230726,,
Albania,"MT2 - 04 - Coffee, tea",Indonesia,124366,113398,,,188443,,
Albania,"MT2 - 04 - Coffee, tea",Iran,,436,10171,830,,,
Albania,"MT2 - 04 - Coffee, tea",Ireland,529780,1144819,1176780,1263405,971,,
Albania,"MT2 - 04 - Coffee, tea",Italy,15938371,16078226,14788342,16764119,18237243,,
Albania,"MT2 - 04 - Coffee, tea",Jamaica,,1107,,,,,
Albania,"MT2 - 04 - Coffee, tea",Japan,,,59,104,1501,,
Albania,"MT2 - 04 - Coffee, tea",Jordan,1301,589,,,,,
Albania,"MT2 - 04 - Coffee, tea",Kenya,4836,,40,79,,,
Albania,"MT2 - 04 - Coffee, tea","Korea, Republic of",35,30,190,,,,
Albania,"MT2 - 04 - Coffee, tea",Latvia,,,1885,621,967,,
Albania,"MT2 - 04 - Coffee, tea",Luxembourg,,,,6,,,
Albania,"MT2 - 04 - Coffee, tea",Malawi,,,,,3109,,
Albania,"MT2 - 04 - Coffee, tea",Malaysia,2222,65,,110,,,
Albania,"MT2 - 04 - Coffee, tea",Mexico,22425,23619,57839,13655,39417,,
Albania,"MT2 - 04 - Coffee, tea","Moldova, Republic of",,4226,2678,8431,10930,,
Albania,"MT2 - 04 - Coffee, tea",Montenegro,4346,36,56220,71832,107025,,
Albania,"MT2 - 04 - Coffee, tea",Morocco,,143,142,735,,,
Albania,"MT2 - 04 - Coffee, tea",Mozambique,,,,,685,,
Albania,"MT2 - 04 - Coffee, tea",Myanmar,,214,,,119,,
Albania,"MT2 - 04 - Coffee, tea",Netherlands,186498,250377,257758,301493,918403,,
Albania,"MT2 - 04 - Coffee, tea",New Zealand,,,1570,,,,
Albania,"MT2 - 04 - Coffee, tea",Nicaragua,5131,9460,11127,27233,,,
Albania,"MT2 - 04 - Coffee, tea",Niger,249,448,,,,,
Albania,"MT2 - 04 - Coffee, tea",Nigeria,,595,4516,,5246,,
Albania,"MT2 - 04 - Coffee, tea",North Macedonia,221354,283835,311250,374880,409462,,
